School,G,W,L,W-L%,SRS,SOS,Conf. W,Conf. L,Home W,Home L,Road W,Road L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian NCAA,34,27,7,0.794,-1.91,-7.34,14,4,13,2,10,4,2502,2161,1370,897,1911,0.469,251,660,0.38,457,642,0.712,325,1110,525,297,93,407,635
Air Force,32,14,18,0.438,-4.28,0.24,8,10,9,6,3,9,2179,2294,1300,802,1776,0.452,234,711,0.329,341,503,0.678,253,1077,434,154,57,423,543
Akron,33,17,16,0.515,4.86,1.09,8,10,14,3,1,10,2271,2107,1325,797,1948,0.409,297,929,0.32,380,539,0.705,312,1204,399,185,106,388,569
Alabama A&M,32,5,27,0.156,-19.23,-8.38,4,14,4,7,0,18,1938,2285,1295,736,1807,0.407,182,575,0.317,284,453,0.627,314,1025,384,234,49,487,587
Alabama-Birmingham,35,20,15,0.571,0.36,-1.52,10,8,11,5,6,6,2470,2370,1410,906,2003,0.452,234,694,0.337,424,629,0.674,367,1279,401,218,82,399,578
Alabama State,31,12,19,0.387,-15.6,-7.84,9,9,8,3,3,13,2086,2235,1250,712,1764,0.404,216,673,0.321,446,684,0.652,365,1094,313,203,102,451,565
Alabama,34,18,16,0.529,9.45,9.01,8,10,10,6,4,8,2448,2433,1365,856,1945,0.44,244,718,0.34,492,739,0.666,384,1285,418,157,160,465,572
Albany (NY),32,12,20,0.375,-9.37,-6.7,7,9,6,8,6,10,2150,2216,1300,728,1750,0.416,274,790,0.347,420,564,0.745,294,1081,402,195,78,454,566
Alcorn State,31,10,21,0.323,-22.08,-8.97,6,12,10,3,0,17,1995,2194,1245,709,1721,0.412,211,646,0.327,366,543,0.674,334,1079,391,229,107,492,548
American,30,15,15,0.5,-4.19,-7.22,9,9,8,7,6,8,2161,2070,1220,780,1645,0.474,190,584,0.325,411,589,0.698,251,1014,402,221,131,386,520
Appalachian State,32,11,21,0.344,-3.73,0.1,6,12,9,5,2,12,2557,2539,1290,880,1938,0.454,292,814,0.359,505,706,0.715,310,1127,406,171,90,418,585
Arizona State NCAA,34,23,11,0.676,10.28,6.04,12,6,13,3,6,5,2638,2494,1380,899,2012,0.447,240,714,0.336,600,882,0.68,399,1351,459,213,109,466,675
Arizona,32,17,15,0.531,8.32,6.32,8,10,12,5,4,7,2269,2205,1290,794,1861,0.427,235,699,0.336,446,620,0.719,324,1115,398,165,73,370,594
Little Rock,31,10,21,0.323,-4.87,-2.07,5,13,7,9,3,12,2301,2353,1250,817,1687,0.484,206,581,0.355,461,703,0.656,244,1060,443,169,87,503,622
Arkansas-Pine Bluff,32,13,19,0.406,-14.44,-8.18,10,8,8,2,4,17,2108,2269,1300,719,1685,0.427,194,574,0.338,476,702,0.678,317,1063,365,216,109,478,629
Arkansas State,32,13,19,0.406,-7.1,-1.23,7,11,10,4,2,13,2359,2475,1310,796,1904,0.418,237,709,0.334,530,721,0.735,403,1211,363,183,139,448,684
Arkansas,34,18,16,0.529,11.75,8.78,8,10,12,6,5,8,2559,2458,1370,893,2004,0.446,259,751,0.345,514,769,0.668,345,1152,541,275,172,450,693
Army,32,13,19,0.406,-7.57,-4.73,8,10,10,4,3,13,2268,2305,1280,837,1956,0.428,272,863,0.315,322,471,0.684,259,1125,499,198,50,376,544
Auburn NCAA,40,30,10,0.75,20.84,10.92,11,7,15,2,4,6,3188,2750,1615,1097,2439,0.45,454,1204,0.377,540,760,0.711,457,1369,572,369,190,466,731
Austin Peay,33,22,11,0.667,0.59,-4.41,13,5,10,2,8,7,2712,2413,1335,973,2060,0.472,268,702,0.382,498,705,0.706,397,1215,454,252,110,392,595
Ball State,33,16,17,0.485,3.39,1.21,6,12,7,7,8,7,2478,2362,1340,889,1892,0.47,202,621,0.325,498,709,0.702,308,1243,426,217,118,480,579
Baylor NCAA,34,20,14,0.588,13.38,9.26,10,8,13,5,5,6,2442,2302,1365,869,1966,0.442,274,803,0.341,430,635,0.677,446,1280,473,209,159,446,636
Belmont NCAA,33,27,6,0.818,9.12,-2.6,16,2,13,1,12,3,2868,2439,1330,1042,2094,0.498,343,922,0.372,441,598,0.737,286,1275,645,220,125,376,509
Bethune-Cookman,31,14,17,0.452,-11.99,-9.75,9,7,11,4,3,12,2290,2245,1250,833,1899,0.439,204,635,0.321,420,689,0.61,415,1274,444,234,108,501,610
Binghamton,33,10,23,0.303,-13.92,-4.69,5,11,5,11,5,12,2152,2376,1320,793,1842,0.431,275,788,0.349,291,452,0.644,244,1060,324,183,152,409,474
Boise State,33,13,20,0.394,3.61,1.08,7,11,8,7,3,10,2364,2263,1330,845,1801,0.469,252,715,0.352,422,584,0.723,242,1016,398,200,68,379,570
Boston College,31,14,17,0.452,5.83,7.76,5,13,10,8,2,8,2196,2256,1260,768,1808,0.425,218,687,0.317,442,633,0.698,331,1137,382,159,103,378,509
Boston University,33,15,18,0.455,-6.61,-5.39,7,11,7,7,8,10,2385,2387,1325,922,1922,0.48,221,639,0.346,320,468,0.684,311,1091,447,199,73,425,578
Bowling Green State,34,22,12,0.647,4.24,0.86,12,6,14,2,5,8,2668,2496,1370,945,2134,0.443,272,762,0.357,506,755,0.67,408,1396,427,227,90,412,596
