School,G,W,L,W-L%,SRS,SOS,Conf. W,Conf. L,Home W,Home L,Road W,Road L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Sacred Heart,32,15,17,0.469,-7.87,-8.1,11,7,10,3,4,13,2558,2509,1285,885,1926,0.46,243,681,0.357,545,722,0.755,354,1230,471,170,132,465,572
Saint Francis (PA),33,18,15,0.545,-8.67,-6.15,12,6,12,4,6,11,2517,2508,1320,885,2034,0.435,254,724,0.351,493,698,0.706,430,1246,413,221,94,402,598
Saint Joseph's,33,14,19,0.424,-0.43,1.66,6,12,10,5,2,11,2328,2397,1325,793,1943,0.408,280,869,0.322,462,615,0.751,258,1140,397,186,110,305,497
Saint Louis NCAA,36,23,13,0.639,5.06,2.23,10,8,15,2,4,8,2399,2297,1440,855,2051,0.417,205,675,0.304,484,809,0.598,491,1428,460,254,145,464,634
Saint Mary's (CA) NCAA,34,22,12,0.647,12.58,4.4,11,5,14,3,5,5,2463,2185,1365,899,1905,0.472,253,670,0.378,412,555,0.742,329,1180,341,201,87,355,574
Saint Peter's,32,10,22,0.313,-12.15,-6.4,6,12,7,7,2,14,2012,2196,1305,707,1639,0.431,184,567,0.325,414,570,0.726,293,1031,301,172,177,488,614
Sam Houston State,33,21,12,0.636,-3.18,-5.84,16,2,12,2,8,9,2476,2307,1345,889,2011,0.442,308,840,0.367,390,518,0.753,369,1191,555,242,94,413,659
Samford,33,17,16,0.515,0.69,-2.03,6,12,11,6,5,9,2583,2487,1355,921,1951,0.472,254,687,0.37,487,666,0.731,316,1225,461,238,127,463,560
San Diego State,34,21,13,0.618,5.29,2.47,11,7,14,3,4,7,2437,2291,1360,845,1940,0.436,261,721,0.362,486,679,0.716,346,1228,487,197,113,424,638
San Diego,36,21,15,0.583,6.12,3.61,7,9,12,4,5,9,2591,2455,1460,914,2002,0.457,284,808,0.351,479,641,0.747,290,1238,516,204,112,466,667
San Francisco,31,21,10,0.677,8.56,1.13,9,7,13,3,6,5,2358,2101,1250,864,1852,0.467,258,728,0.354,372,568,0.655,340,1137,439,188,104,321,543
San Jose State,31,4,27,0.129,-16.37,0.59,1,17,4,11,0,12,2042,2534,1250,713,1765,0.404,210,641,0.328,406,620,0.655,323,1127,423,131,52,484,539
Santa Clara,31,16,15,0.516,-1.91,0.92,8,8,11,6,4,6,2115,2172,1255,735,1655,0.444,239,663,0.36,406,567,0.716,242,1026,416,146,111,433,597
Savannah State,31,11,20,0.355,-20.52,-9.05,8,8,6,5,4,14,2360,2694,1245,825,2080,0.397,351,1199,0.293,359,531,0.676,383,1188,462,234,96,478,564
Seattle,33,18,15,0.545,-1.47,-3.85,6,10,12,6,4,8,2420,2283,1330,852,1945,0.438,238,642,0.371,478,668,0.716,336,1221,382,142,117,403,657
Seton Hall NCAA,34,20,14,0.588,10.25,8.34,9,9,11,4,3,8,2508,2443,1375,888,2021,0.439,240,741,0.324,492,697,0.706,361,1213,459,235,132,423,638
Siena,33,17,16,0.515,-7.89,-6.47,11,7,7,7,8,7,2131,2178,1345,772,1779,0.434,288,850,0.339,299,440,0.68,248,973,413,189,93,321,462
South Alabama,34,17,17,0.5,-4.46,-2.71,8,10,13,6,3,10,2478,2465,1375,867,1884,0.46,285,761,0.375,459,669,0.686,288,1094,471,201,141,456,649
South Carolina State,34,8,26,0.235,-16.87,-8.31,5,11,5,6,2,19,2388,2593,1375,811,1889,0.429,193,580,0.333,573,772,0.742,376,1138,386,167,60,493,670
South Carolina Upstate,32,6,26,0.188,-15.31,-4.27,1,16,5,9,1,15,2169,2395,1290,775,1874,0.414,269,819,0.328,350,491,0.713,305,1050,434,207,94,440,621
South Carolina,32,16,16,0.5,8.34,9.63,11,7,11,6,4,8,2327,2316,1285,806,1907,0.423,242,662,0.366,473,694,0.682,383,1160,413,202,140,433,622
South Dakota State,33,24,9,0.727,5.92,-4.74,14,2,14,1,7,6,2789,2425,1320,984,1965,0.501,327,802,0.408,494,635,0.778,251,1259,489,202,65,388,557
South Dakota,30,13,17,0.433,-5.52,-3.06,7,9,8,6,4,8,2118,2136,1205,729,1663,0.438,227,665,0.341,433,585,0.74,219,942,382,165,68,324,527
South Florida,38,24,14,0.632,5.96,1.69,8,10,18,5,5,7,2752,2553,1555,911,2120,0.43,272,819,0.332,658,1018,0.646,496,1483,521,306,124,604,790
Southeast Missouri State,31,10,21,0.323,-11.32,-4.39,5,13,6,8,2,13,2216,2378,1265,796,1809,0.44,266,719,0.37,358,519,0.69,284,1081,402,182,75,447,615
Southeastern Louisiana,33,17,16,0.515,-7.59,-6.3,12,6,9,5,7,9,2224,2228,1320,765,1735,0.441,235,696,0.338,459,640,0.717,346,1117,452,215,80,536,602
Southern California,33,16,17,0.485,8.23,4.96,8,10,12,5,2,9,2518,2410,1340,937,2039,0.46,281,735,0.382,363,563,0.645,324,1188,536,202,117,392,590
SIU Edwardsville,31,10,21,0.323,-14.47,-5.06,6,12,7,8,2,11,2265,2520,1280,794,1898,0.418,201,665,0.302,476,677,0.703,351,1079,382,198,70,438,612
Southern Illinois,32,17,15,0.531,1.39,-0.17,10,8,9,6,7,7,2194,2144,1280,802,1720,0.466,213,570,0.374,377,550,0.685,289,1081,438,212,129,447,474
Southern Methodist,32,15,17,0.469,5.81,4.12,6,12,10,8,3,7,2303,2249,1280,833,1884,0.442,263,772,0.341,374,523,0.715,365,1135,441,189,123,350,515
Southern Mississippi,33,20,13,0.606,2.58,-0.84,11,7,11,3,7,7,2392,2160,1330,898,1928,0.466,275,712,0.386,321,489,0.656,274,1178,553,253,110,345,507
Southern Utah,34,17,17,0.5,-8.91,-6.22,9,11,11,4,4,12,2573,2566,1380,881,1997,0.441,272,799,0.34,539,757,0.712,282,1250,426,199,114,466,696
Southern,32,7,25,0.219,-16.79,-7.38,6,12,6,5,1,18,2077,2360,1285,752,1711,0.44,180,544,0.331,393,588,0.668,313,980,372,216,86,511,716
St. Bonaventure,34,18,16,0.529,3.34,0.25,12,6,9,5,6,7,2250,2145,1385,821,1914,0.429,208,635,0.328,400,539,0.742,333,1183,417,199,164,421,553
St. Francis (NY),33,17,16,0.515,-10.18,-8.44,9,9,11,3,6,12,2345,2320,1325,841,1989,0.423,270,806,0.335,393,580,0.678,346,1191,387,194,136,413,635
St. John's (NY) NCAA,34,21,13,0.618,7.88,5.5,8,10,11,4,4,7,2623,2542,1375,944,2100,0.45,289,809,0.357,446,620,0.719,264,1119,472,301,111,357,650
Stanford,31,15,16,0.484,6.03,5.13,8,10,10,4,4,9,2255,2227,1245,808,1782,0.453,207,652,0.317,432,643,0.672,322,1148,392,187,147,467,587
Stephen F. Austin,30,14,16,0.467,-10.99,-5.92,7,11,10,6,3,9,2105,2161,1210,745,1696,0.439,201,588,0.342,414,607,0.682,313,1008,348,192,113,442,579
Stetson,31,7,24,0.226,-15.01,-3.46,3,13,7,8,0,16,2151,2429,1245,794,1962,0.405,215,684,0.314,348,503,0.692,359,1110,418,210,94,394,536
Stony Brook,33,24,9,0.727,-2.1,-6.48,12,4,10,4,13,4,2364,2188,1335,815,1937,0.421,233,715,0.326,501,695,0.721,410,1348,372,209,140,478,631
Syracuse NCAA,34,20,14,0.588,13.73,10.09,10,8,13,6,6,4,2370,2246,1365,808,1906,0.424,274,823,0.333,480,701,0.685,363,1174,408,278,162,423,590
Temple NCAA,33,23,10,0.697,8.17,4.93,13,5,13,2,8,5,2465,2358,1340,873,1998,0.437,247,748,0.33,472,649,0.727,316,1136,476,284,73,368,580
Tennessee-Martin,31,12,19,0.387,-10.94,-4.32,6,12,10,4,1,14,2356,2486,1250,854,1915,0.446,250,726,0.344,398,528,0.754,351,1062,441,223,88,418,490
Tennessee State,30,9,21,0.3,-11.62,-3.15,6,12,6,7,3,14,2182,2332,1210,751,1739,0.432,240,716,0.335,440,628,0.701,317,1032,342,219,78,497,735
Tennessee Tech,31,8,23,0.258,-14.76,-3,4,14,5,10,3,13,2104,2350,1250,742,1784,0.416,213,620,0.344,407,645,0.631,330,1122,389,226,134,517,554
Tennessee NCAA,37,31,6,0.838,21.55,10.16,15,3,18,0,7,3,3035,2580,1505,1106,2231,0.496,262,714,0.367,561,744,0.754,379,1391,660,221,199,412,654
Texas A&M-Corpus Christi,32,14,18,0.438,-9.11,-5.68,9,9,9,7,5,9,2126,2124,1290,774,1803,0.429,202,621,0.325,376,541,0.695,349,1159,423,197,90,456,610
Texas A&M,32,14,18,0.438,7.21,8.59,6,12,9,8,3,7,2253,2297,1280,806,1842,0.438,204,663,0.308,437,631,0.693,372,1195,376,215,142,444,521
Texas-Arlington,33,17,16,0.515,-0.5,0.84,12,6,9,5,7,10,2284,2303,1345,781,1908,0.409,234,773,0.303,488,659,0.741,372,1237,421,211,97,467,630
Texas Christian,37,23,14,0.622,13.81,9.6,7,11,15,5,3,7,2730,2574,1500,990,2168,0.457,281,813,0.346,469,688,0.682,395,1347,598,255,162,499,586
Texas-El Paso,29,8,21,0.276,-8.23,-1.71,3,15,8,8,0,13,1859,2001,1170,638,1592,0.401,199,621,0.32,384,580,0.662,285,1070,306,135,83,466,551
Texas-Rio Grande Valley,37,20,17,0.541,-2.04,-1.61,9,7,11,9,8,7,2634,2623,1490,895,2139,0.418,203,636,0.319,641,923,0.694,358,1215,503,345,105,471,763
Texas-San Antonio,32,17,15,0.531,0.69,0.05,11,7,11,4,5,7,2481,2407,1295,896,2068,0.433,294,855,0.344,395,536,0.737,323,1216,420,213,82,402,581
Texas Southern,38,24,14,0.632,-5.55,-6.99,14,4,10,2,13,11,3102,3008,1550,1083,2379,0.455,276,852,0.324,660,988,0.668,467,1503,591,309,114,589,679
Texas State,34,24,10,0.706,1.54,-3,12,6,11,4,10,5,2470,2204,1370,876,1971,0.444,244,744,0.328,474,694,0.683,409,1291,493,234,84,455,667
Texas Tech NCAA,38,31,7,0.816,22.79,9.53,14,4,17,1,6,3,2765,2261,1530,990,2110,0.469,277,759,0.365,508,694,0.732,315,1292,498,275,186,457,663
Texas,37,21,16,0.568,16.06,11.46,8,10,15,6,2,8,2628,2458,1495,929,2146,0.433,325,934,0.348,445,637,0.699,358,1264,485,227,152,401,627
Toledo,33,25,8,0.758,8.21,0.71,13,5,14,2,8,5,2537,2256,1330,901,1990,0.453,325,860,0.378,410,531,0.772,327,1280,538,171,152,402,517
Towson,32,10,22,0.313,-8.44,-3.57,6,12,5,8,4,8,2170,2294,1310,810,1860,0.435,180,550,0.327,370,531,0.697,389,1183,318,154,94,390,562
Troy,30,12,18,0.4,-6.12,-1.02,5,13,8,8,4,10,2179,2242,1210,773,1719,0.45,236,704,0.335,397,550,0.722,277,1021,392,171,135,408,523
Tulane,31,4,27,0.129,-6.72,3.63,0,18,3,12,0,11,2082,2403,1240,733,1784,0.411,213,670,0.318,403,585,0.689,298,1130,444,147,109,467,535
Tulsa,32,18,14,0.563,4.64,3.86,8,10,14,3,3,8,2296,2271,1290,776,1732,0.448,222,652,0.34,522,751,0.695,239,1119,430,176,76,404,529
UCLA,33,17,16,0.515,7.17,6.78,9,9,13,5,3,7,2580,2567,1335,919,2012,0.457,256,721,0.355,486,768,0.633,380,1361,472,194,135,467,563
Utah State NCAA,35,28,7,0.8,11.98,0.89,15,3,14,1,9,4,2753,2349,1410,959,2037,0.471,274,772,0.355,559,747,0.748,377,1403,596,214,146,449,650
Utah Valley,35,25,10,0.714,3,-2.31,12,4,14,1,8,8,2697,2474,1400,930,1925,0.483,283,738,0.383,554,764,0.725,311,1263,476,201,87,487,612
Utah,31,17,14,0.548,6.13,5.1,11,7,10,5,6,5,2343,2311,1245,805,1735,0.464,298,806,0.37,435,616,0.706,317,1096,440,144,80,409,549
Valparaiso,33,15,18,0.455,-3.38,-1,7,11,8,7,5,8,2205,2187,1335,802,1783,0.45,185,585,0.316,416,595,0.699,294,1115,431,202,101,439,546
Vanderbilt,32,9,23,0.281,3.57,7.79,0,18,8,10,1,10,2180,2315,1285,736,1750,0.421,230,739,0.311,478,710,0.673,325,1139,371,154,126,454,568
Vermont NCAA,34,27,7,0.794,4.88,-4.18,14,2,16,2,11,4,2508,2143,1370,864,1887,0.458,273,761,0.359,507,678,0.748,304,1194,399,188,136,377,568
Villanova NCAA,36,26,10,0.722,14.33,7.97,13,5,13,2,5,6,2654,2425,1455,884,2019,0.438,380,1081,0.352,506,695,0.728,368,1253,503,194,106,388,580
Virginia Commonwealth NCAA,33,25,8,0.758,11.96,2.87,16,2,16,1,8,4,2344,2044,1330,820,1872,0.438,235,771,0.305,469,669,0.701,358,1208,450,263,148,458,650
VMI,32,11,21,0.344,-10.5,0.09,4,14,8,7,2,13,2433,2617,1290,843,1973,0.427,323,898,0.36,424,581,0.73,280,1110,442,217,61,390,541
Virginia Tech NCAA,35,26,9,0.743,19.28,7.8,12,6,14,2,5,5,2574,2172,1410,893,1899,0.47,327,831,0.394,461,606,0.761,310,1142,531,236,78,392,532
Virginia NCAA,38,35,3,0.921,25.46,10.14,16,2,15,1,10,1,2714,2132,1535,974,2056,0.474,321,812,0.395,445,598,0.744,342,1326,544,211,149,342,543
Wagner,30,13,17,0.433,-12.98,-7.62,8,10,7,7,6,10,1974,2044,1205,655,1696,0.386,236,773,0.305,428,575,0.744,378,1095,351,184,108,414,639
Wake Forest,31,11,20,0.355,1.21,8.47,4,14,8,8,1,10,2119,2344,1250,714,1812,0.394,197,640,0.308,494,681,0.725,399,1174,329,150,77,417,555
Washington State,32,11,21,0.344,-1.67,2.2,4,14,9,7,2,8,2393,2517,1280,833,1861,0.448,301,828,0.364,426,564,0.755,276,1076,476,165,93,440,554
Washington NCAA,36,27,9,0.75,12.01,7.01,15,3,15,1,7,4,2511,2331,1445,883,1956,0.451,273,780,0.35,472,679,0.695,334,1129,419,322,204,479,653
Weber State,33,18,15,0.545,-4.37,-6.12,11,9,10,5,5,7,2617,2454,1330,920,1934,0.476,249,684,0.364,528,708,0.746,220,1177,382,180,140,382,608
